id,ranking_score,agent_id,geography_name,sq_meters,price,year_of_construction,floor,subtype,rooms,no_of_bathrooms,no_of_wc,ad_type,living_rooms,kitchens,balcony_area,lux_home,new_development,garage,furnished,preserved,investment,unfinished,heating_under_floor,renovated,requires_renovation,airy,bright,painted,garden,ac,storage,balcony,internal_stairs,view,secure_door,penthouse,alarm,corner,holiday_home,student_home,night_power,neoclassic,double_glass,for_commercial_use,fireplace,elevator,satellite,solar_heater,attic,pool,playroom
42512570,136.5,18437.0,south beach,55,150000,1983,4,apartment,2,1,1,simple,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42512672,110.7,13744.0,south beach,60,175000,1983,4,apartment,1,1,0,simple,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0
42512878,135.0,14089.0,south beach,60,175000,1983,4,apartment,1,1,0,simple,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
42513451,157.7,13328.0,south beach,143,620000,2018,0,maisonette,3,2,1,simple,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42513906,162.3,18433.0,south beach,56,175000,1983,4,apartment,1,1,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42513930,89.0,12172.0,south beach,56,150000,1983,4,apartment,1,1,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
42514096,78.2,15131.0,south beach,56,150000,1983,4,apartment,1,1,0,star,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42514104,84.0,11379.0,south beach,490,600000,2004,0,building,0,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42514306,120.2,11983.0,south beach,56,150000,1983,4,apartment,1,1,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42514487,106.0,11379.0,south beach,200,600000,2000,1,apartment,3,2,1,simple,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42514578,130.1,6010.0,south beach,56,175000,1983,4,apartment,1,1,0,simple,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
41647689,146.1,13872.0,south beach,55,170000,2011,0,apartment,1,1,0,simple,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42521826,151.6,10878.0,south beach,56,175000,1983,4,apartment,1,1,0,simple,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
42522249,96.7,6161.0,south beach,370,430000,1992,0,detached,5,1,1,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
41651044,154.8,13872.0,south beach,120,680000,2011,0,apartment,3,1,1,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
42523058,163.7,5976.0,south beach,56,150000,1983,4,apartment,1,1,0,simple,1,1,30,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
41651045,155.0,13872.0,south beach,115,680000,2011,0,apartment,3,1,1,simple,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
41651046,156.5,13872.0,south beach,120,530000,2011,1,apartment,3,1,1,simple,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
41651047,136.0,13872.0,south beach,115,485000,2011,1,apartment,3,1,1,simple,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
